,City,Country,Latitude,Longitude,Temp,Maximum Temp,Humidity,Wind Speed,Cloud Cover
162,taltal,CL,-25.4,-70.4833,72.63,72.63,56,8.12,22
163,narasannapeta,IN,18.4167,84.05,73.24,73.24,73,6.64,100
164,illoqqortoormiut,,,,,,,,
165,tabou,CI,4.423,-7.3528,79.56,79.56,82,5.91,41
166,dawei,MM,14.0833,98.2,70.27,70.27,59,4.47,25
167,port alfred,ZA,-33.5906,26.891,71.01,71.01,93,16.84,12
168,louisbourg,,,,,,,,
169,mar del plata,AR,-38.0023,-57.5575,67.84,69.8,35,18.41,0
170,nikolskoye,RU,59.7035,30.7861,12.63,14,73,4.47,0
171,provideniya,RU,64.3833,-173.3,-4,-4,77,4.47,0
172,gornyak,RU,50.9942,81.4661,3.27,3.27,93,10.47,100
173,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
174,iqaluit,CA,63.7506,-68.5145,-13,-13,70,3.44,90
175,castro,BR,-24.7911,-50.0119,80.47,80.47,41,3.27,0
176,fort saint john,,,,,,,,
177,busselton,AU,-33.65,115.3333,49.77,51.01,94,9.6,0
178,qaanaaq,GL,77.484,-69.3632,-26.37,-26.37,79,4.5,96
179,ribeira grande,PT,38.5167,-28.7,46.4,46.4,76,33.38,75
180,upernavik,GL,72.7868,-56.1549,-17.19,-17.19,87,4.85,24
181,klaksvik,FO,62.2266,-6.589,44.6,44.6,100,16.11,90
182,vaini,TO,-21.2,-175.2,77,77,78,11.5,75
183,tuli,PH,7.2333,125.4167,73.4,73.4,88,8.05,75
184,belushya guba,,,,,,,,
185,vardo,NO,70.3705,31.1107,19.4,19.4,73,10.36,75
186,amderma,,,,,,,,
187,oistins,BB,13.0667,-59.5333,82.4,82.4,57,24.16,40
188,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
189,vila velha,BR,-20.3297,-40.2925,79.92,84,94,10.36,75
190,taolanaro,,,,,,,,
191,mataura,NZ,-46.1927,168.8643,45.66,45.66,86,1.9,0
192,airai,TL,-8.9266,125.4092,60.22,60.22,100,1.77,97
193,epe,NG,6.5841,3.9834,76.64,76.64,63,5.59,0
194,hasaki,JP,35.7333,140.8333,30,32,93,2.3,20
195,mao,ES,39.8885,4.2658,53.6,53.6,94,4.61,75
196,dingle,PH,10.9995,122.6711,69.46,69.46,83,9.6,100
197,kavaratti,IN,10.5669,72.642,80.46,80.46,68,9.98,11
198,qaanaaq,GL,77.484,-69.3632,-26.37,-26.37,79,4.5,96
199,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
200,busselton,AU,-33.65,115.3333,49.77,51.01,94,9.6,0
201,karauzyak,,,,,,,,
202,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
203,coacoyul,MX,17.8058,-99.11,84.99,84.99,25,3,0
204,sorong,ID,-0.8833,131.25,77.65,77.65,88,7.52,3
205,saint-philippe,RE,-21.3585,55.7679,74.5,78.8,83,3.44,0
206,ribeira grande,PT,38.5167,-28.7,46.4,46.4,76,33.38,75
207,torbay,CA,47.6666,-52.7314,23.2,25,68,18.41,75
208,christchurch,NZ,-43.5333,172.6333,56.68,59,100,2.3,0
209,zyryanka,RU,65.75,150.85,-33.38,-33.38,83,4.45,27
210,nikolskoye,RU,59.7035,30.7861,12.63,14,73,4.47,0
211,kalangala,UG,-0.3089,32.225,71.6,71.6,68,9.22,20
212,katsuura,JP,35.1333,140.3,45.18,50,56,5.75,20
213,rivers,CA,50.0308,-100.2403,1.4,1.4,71,4.45,20
214,puerto madryn,AR,-42.7692,-65.0385,68.54,68.54,25,28.25,0
215,grindavik,IS,63.8424,-22.4338,33.8,33.8,80,11.5,0
216,grand river south east,,,,,,,,
217,port arthur,CN,38.8,121.2667,32,32,69,2.24,0
218,hermanus,ZA,-34.4187,19.2345,66.99,66.99,71,8.32,100
219,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
220,sitka,US,57.0531,-135.33,41,41,81,23.02,90
221,naze,JP,28.3667,129.4833,51.24,51.24,71,6.17,0
222,caorle,IT,45.5966,12.8758,48.45,48.99,84,3.65,100
223,gat,IL,31.61,34.7642,47.86,48.99,100,4.45,16
224,saleaula,,,,,,,,
225,bluff,NZ,-46.6,168.3333,51.33,51.33,82,8.66,0
226,dingle,PH,10.9995,122.6711,69.46,69.46,83,9.6,100
227,hermanus,ZA,-34.4187,19.2345,66.99,66.99,71,8.32,100
228,palabuhanratu,,,,,,,,
229,port elizabeth,ZA,-33.918,25.5701,69.8,69.8,88,9.22,90
230,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
231,bosaso,SO,11.2842,49.1816,73.87,73.87,67,4.85,1
232,hobart,AU,-42.8794,147.3294,63.93,64.99,82,12.66,40
233,bhera,PK,32.4832,72.9097,62.26,62.26,30,4,44
234,brae,GB,60.3964,-1.353,44.6,44.6,93,27.63,75
235,solnechnyy,RU,50.7214,136.6319,0.59,0.59,91,5.79,100
236,filadelfia,US,39.9523,-75.1638,32.14,33.01,88,1.01,100
237,longyearbyen,SJ,78.2186,15.6401,24.8,24.8,74,11.5,75
238,honiara,SB,-9.4333,159.95,78.44,78.44,80,1.59,90
239,leningradskiy,RU,69.3833,178.4167,-19.08,-19.08,77,4.7,0
240,mys shmidta,,,,,,,,
241,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
242,bethel,US,41.3712,-73.414,30.88,32,86,6.91,90
243,vilhena,BR,-12.7406,-60.1458,77,77,83,11.5,75
244,makakilo city,US,21.3469,-158.0858,73.4,75.2,73,9.22,1
245,saleaula,,,,,,,,
246,lebu,CL,-37.6167,-73.65,59.72,59.72,54,23.89,0
247,yellowknife,CA,62.456,-114.3525,10.49,10.99,72,8.05,75
248,tygda,RU,53.1167,126.3333,0.79,0.79,90,6.55,100
249,punta arenas,CL,-53.15,-70.9167,55.2,55.4,58,17.27,75
250,ponta do sol,PT,32.6667,-17.1,57.58,61,75,5.99,100
251,bodinayakkanur,IN,10.0167,77.35,72.59,72.59,78,1.79,100
252,saleaula,,,,,,,,
253,guerrero negro,MX,27.9769,-114.0611,68.22,68.22,22,2.08,0
254,punta arenas,CL,-53.15,-70.9167,55.2,55.4,58,17.27,75
255,saint-philippe,RE,-21.3585,55.7679,74.5,78.8,83,3.44,0
256,torbay,CA,47.6666,-52.7314,23.2,25,68,18.41,75
257,hithadhoo,MV,-0.6,73.0833,83.5,83.5,72,10.04,93
258,busselton,AU,-33.65,115.3333,49.77,51.01,94,9.6,0
259,kapaa,US,22.0752,-159.319,72.05,73.4,88,19.57,75
260,severo-kurilsk,RU,50.6789,156.125,28.02,28.02,96,22.03,100
261,constantine,DZ,36.365,6.6147,51.8,51.8,35,3.44,0
262,busselton,AU,-33.65,115.3333,49.77,51.01,94,9.6,0
263,vila franca do campo,PT,37.7167,-25.4333,49.3,51.8,71,25.32,75
264,buala,SB,-8.145,159.5921,80.19,80.19,80,5.75,73
265,safonovo,RU,55.15,33.2167,3.09,3.09,94,5.32,100
266,punta arenas,CL,-53.15,-70.9167,55.2,55.4,58,17.27,75
267,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
268,kiama,AU,-34.6833,150.8667,65.28,66.99,92,3.42,1
269,carnarvon,AU,-24.8667,113.6333,77,77,78,12.66,75
270,buritis,BR,-15.6178,-46.4233,80.37,80.37,80,4.27,100
271,broome,US,42.2506,-75.833,29.66,33.01,80,6.91,90
272,atherton,GB,53.5237,-2.4935,53.06,54,72,8.01,100
273,ngukurr,,,,,,,,
274,fougamou,GA,-1.2154,10.5838,75.43,75.43,90,2.53,100
275,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
276,touros,BR,-5.1989,-35.4608,86,86,62,18.41,20
277,abu dhabi,AE,24.4667,54.3667,71.6,71.6,83,4.61,0
278,samusu,,,,,,,,
279,albany,US,42.6001,-73.9662,29.98,30.99,67,2.66,100
280,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
281,castro,BR,-24.7911,-50.0119,80.47,80.47,41,3.27,0
282,puerto ayora,EC,-0.7393,-90.3518,82.15,82.4,78,4.61,75
283,illoqqortoormiut,,,,,,,,
284,port elizabeth,ZA,-33.918,25.5701,69.8,69.8,88,9.22,90
285,new norfolk,AU,-42.7826,147.0587,64.33,64.99,66,1.99,0
286,thunder bay,CA,48.4001,-89.3168,21.2,21.2,58,8.05,75
287,saskylakh,RU,71.9167,114.0833,-28.43,-28.43,84,7.83,97
288,karratha,AU,-20.7377,116.8463,82.96,82.96,70,14.07,25
289,arraial do cabo,BR,-22.9661,-42.0278,80.6,80.6,74,5.75,75
290,torbay,CA,47.6666,-52.7314,23.2,25,68,18.41,75
291,bluff,NZ,-46.6,168.3333,51.33,51.33,82,8.66,0
292,punta arenas,CL,-53.15,-70.9167,55.2,55.4,58,17.27,75
293,vaini,TO,-21.2,-175.2,77,77,78,11.5,75
294,atuona,PF,-9.8,-139.0333,79.05,79.05,78,13.71,8
295,diapaga,BF,12.0708,1.7889,76.5,76.5,14,7.74,0
296,qaanaaq,GL,77.484,-69.3632,-26.37,-26.37,79,4.5,96
297,punta arenas,CL,-53.15,-70.9167,55.2,55.4,58,17.27,75
298,armidale,AU,-30.5167,151.65,57.99,57.99,93,6.62,91
299,zyryanka,RU,65.75,150.85,-33.38,-33.38,83,4.45,27
300,port alfred,ZA,-33.5906,26.891,71.01,71.01,93,16.84,12
301,tsihombe,,,,,,,,
302,tasiilaq,GL,65.6145,-37.6368,28.4,28.4,93,3.44,90
303,new norfolk,AU,-42.7826,147.0587,64.33,64.99,66,1.99,0
304,volsk,RU,52.0333,47.3833,-7.08,-7.08,89,8.08,0
305,hermanus,ZA,-34.4187,19.2345,66.99,66.99,71,8.32,100
306,khatanga,RU,71.9667,102.5,-22.94,-22.94,87,1.66,100
307,cabedelo,BR,-6.9811,-34.8339,86,86,66,13.8,20
308,abha,SA,18.2164,42.5053,55.29,57.2,94,6.91,20
309,khani,GE,41.9563,42.9566,37.4,37.4,87,6.91,90
310,rota,ES,36.6224,-6.3586,57.72,59,88,4.61,100
311,torbay,CA,47.6666,-52.7314,23.2,25,68,18.41,75
312,alenquer,BR,-1.9417,-54.7383,86,86,74,8.05,40
313,mataura,NZ,-46.1927,168.8643,45.66,45.66,86,1.9,0
314,puerto ayora,EC,-0.7393,-90.3518,82.15,82.4,78,4.61,75
315,coihaique,CL,-45.5752,-72.0662,57.2,57.2,47,16.11,40
316,new norfolk,AU,-42.7826,147.0587,64.33,64.99,66,1.99,0
317,katsuura,JP,35.1333,140.3,45.18,50,56,5.75,20
318,victoria,HK,22.2855,114.1577,61.3,64,70,4.9,1
319,sambava,MG,-14.2667,50.1667,80.04,80.04,83,5.41,100
320,barranca,PE,-10.75,-77.7667,76.1,76.1,67,10.51,14
321,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
322,omboue,GA,-1.5746,9.2618,80.1,80.1,80,8.28,100
323,qaanaaq,GL,77.484,-69.3632,-26.37,-26.37,79,4.5,96
324,hobart,AU,-42.8794,147.3294,63.93,64.99,82,12.66,40
325,puerto ayora,EC,-0.7393,-90.3518,82.15,82.4,78,4.61,75
326,samusu,,,,,,,,
327,yellowknife,CA,62.456,-114.3525,10.49,10.99,72,8.05,75
328,araouane,ML,18.9048,-3.5265,83.8,83.8,13,7.54,100
329,pontes e lacerda,BR,-15.2261,-59.3353,88.38,88.38,59,4.03,100
330,cape town,ZA,-33.9258,18.4232,66.45,66.99,68,20.71,75
331,babanusah,,,,,,,,
332,attawapiskat,,,,,,,,
333,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
334,saint-augustin,CA,51.226,-58.6502,15.39,15.39,91,9.26,0
335,cururupu,BR,-1.8283,-44.8683,85.05,85.05,63,6.71,45
336,leningradskiy,RU,69.3833,178.4167,-19.08,-19.08,77,4.7,0
337,roros,NO,62.5747,11.3842,14,14,85,2.3,0
338,jamestown,US,42.097,-79.2353,25.95,27,80,9.22,90
339,taolanaro,,,,,,,,
340,palabuhanratu,,,,,,,,
341,moussoro,TD,13.6408,16.4901,65.7,65.7,21,12.24,0
342,vilhena,BR,-12.7406,-60.1458,77,77,83,11.5,75
343,turukhansk,RU,65.8167,87.9833,-23.75,-23.75,84,5.39,96
344,banda aceh,ID,5.5577,95.3222,77.16,77.16,69,13.29,25
345,guerrero negro,MX,27.9769,-114.0611,68.22,68.22,22,2.08,0
346,castro,BR,-24.7911,-50.0119,80.47,80.47,41,3.27,0
347,butaritari,KI,3.0707,172.7902,80.37,80.37,83,15.28,44
348,batasan,PH,12.7667,120.7833,74.95,74.95,63,10.07,100
349,bandarbeyla,SO,9.4942,50.8122,75.7,75.7,67,20.56,32
350,aykhal,RU,66,111.5,-27.6,-27.6,83,5.23,97
351,makoshyne,UA,51.46,32.3396,1.22,1.22,92,7,0
352,marana,US,32.4367,-111.2254,63.64,64.99,13,2.37,1
353,nanortalik,GL,60.1432,-45.2371,19.42,19.42,88,10.38,23
354,barrow,US,71.2906,-156.7887,-5.8,-5.8,77,13.8,40
355,beringovskiy,RU,63.05,179.3167,-16.46,-16.46,88,10.63,93
356,kashan,IR,33.9831,51.4364,48.02,48.02,47,2.53,0
357,hailar,CN,49.2,119.7,-3.23,-3.23,90,9.69,0
358,lexington,US,37.9887,-84.4777,24.55,26.01,80,3.44,90
359,upernavik,GL,72.7868,-56.1549,-17.19,-17.19,87,4.85,24
360,ilulissat,GL,69.2167,-51.1,1.4,1.4,66,5.75,75
361,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
362,hermanus,ZA,-34.4187,19.2345,66.99,66.99,71,8.32,100
363,albany,US,42.6001,-73.9662,29.98,30.99,67,2.66,100
364,avarua,CK,-21.2078,-159.775,80.6,80.6,83,12.66,75
365,cayenne,GF,4.9333,-52.3333,78.8,78.8,83,5.75,75
366,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
367,chokurdakh,RU,70.6333,147.9167,-33.43,-33.43,85,1.32,0
368,puerto ayora,EC,-0.7393,-90.3518,82.15,82.4,78,4.61,75
369,mataura,NZ,-46.1927,168.8643,45.66,45.66,86,1.9,0
370,busselton,AU,-33.65,115.3333,49.77,51.01,94,9.6,0
371,barentsburg,,,,,,,,
372,tuktoyaktuk,CA,69.4541,-133.0374,-31,-31,68,6.91,40
373,jamestown,US,42.097,-79.2353,25.95,27,80,9.22,90
374,atuona,PF,-9.8,-139.0333,79.05,79.05,78,13.71,8
375,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
376,vaitupu,,,,,,,,
377,saint-philippe,RE,-21.3585,55.7679,74.5,78.8,83,3.44,0
378,dauphin,CA,51.1494,-100.0502,6.8,6.8,66,2.3,1
379,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
380,busselton,AU,-33.65,115.3333,49.77,51.01,94,9.6,0
381,marawi,PH,7.9986,124.2928,77,77,81,13,100
382,amderma,,,,,,,,
383,vaini,TO,-21.2,-175.2,77,77,78,11.5,75
384,beringovskiy,RU,63.05,179.3167,-16.46,-16.46,88,10.63,93
385,new norfolk,AU,-42.7826,147.0587,64.33,64.99,66,1.99,0
386,hobart,AU,-42.8794,147.3294,63.93,64.99,82,12.66,40
387,kavieng,PG,-2.5744,150.7967,82.78,82.78,81,12.37,51
388,butaritari,KI,3.0707,172.7902,80.37,80.37,83,15.28,44
389,albany,US,42.6001,-73.9662,29.98,30.99,67,2.66,100
390,utiroa,,,,,,,,
391,arraial do cabo,BR,-22.9661,-42.0278,80.6,80.6,74,5.75,75
392,albany,US,42.6001,-73.9662,29.98,30.99,67,2.66,100
393,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
394,nichinan,JP,31.6,131.3667,41,41,80,5.99,0
395,samusu,,,,,,,,
396,lokosovo,RU,61.1333,74.8167,-25.98,-25.98,86,6.26,78
397,kalmunai,LK,7.4167,81.8167,77.32,77.32,85,4.29,2
398,khatanga,RU,71.9667,102.5,-22.94,-22.94,87,1.66,100
399,hilo,US,19.7297,-155.09,73.09,75.2,69,5.75,1
400,guerrero negro,MX,27.9769,-114.0611,68.22,68.22,22,2.08,0
401,beringovskiy,RU,63.05,179.3167,-16.46,-16.46,88,10.63,93
402,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
403,mataura,NZ,-46.1927,168.8643,45.66,45.66,86,1.9,0
404,banjar,ID,-8.19,114.9675,78.8,78.8,89,10.36,90
405,vredendal,ZA,-31.6683,18.5012,61.77,61.77,82,13.24,0
406,kapaa,US,22.0752,-159.319,72.05,73.4,88,19.57,75
